Side_A,Side_B,Side_C,Triangle_Type
81.0,81.0,81.0,Equilateral
54.41,54.41,54.41,Equilateral
88.89,88.89,88.89,Equilateral
88.58,88.58,88.58,Equilateral
16.0,16.0,16.0,Equilateral
77.0,77.0,77.0,Equilateral
73.38,73.38,73.38,Equilateral
21.0,21.0,21.0,Equilateral
12.0,12.0,12.0,Equilateral
27.3,27.3,27.3,Equilateral
94.0,94.0,94.0,Equilateral
16.0,16.0,16.0,Equilateral
48.0,48.0,48.0,Equilateral
37.0,37.0,37.0,Equilateral
20.97,20.97,20.97,Equilateral
88.25,88.25,88.25,Equilateral
26.0,26.0,26.0,Equilateral
57.72,57.72,57.72,Equilateral
28.72,28.72,28.72,Equilateral
49.0,49.0,49.0,Equilateral
30.32,30.32,30.32,Equilateral
5.0,5.0,5.0,Equilateral
44.0,44.0,44.0,Equilateral
48.39,48.39,48.39,Equilateral
44.48,44.48,44.48,Equilateral
8.0,8.0,8.0,Equilateral
97.0,97.0,97.0,Equilateral
91.0,91.0,91.0,Equilateral
78.29,78.29,78.29,Equilateral
87.0,87.0,87.0,Equilateral
81.0,81.0,81.0,Equilateral
21.0,21.0,21.0,Equilateral
54.0,54.0,54.0,Equilateral
74.23,74.23,74.23,Equilateral
73.0,73.0,73.0,Equilateral
8.59,8.59,8.59,Equilateral
11.0,11.0,11.0,Equilateral
100.0,100.0,100.0,Equilateral
60.0,60.0,60.0,Equilateral
72.54,72.54,72.54,Equilateral
85.12,85.12,85.12,Equilateral
32.0,32.0,32.0,Equilateral
97.0,97.0,97.0,Equilateral
10.0,10.0,10.0,Equilateral
58.0,58.0,58.0,Equilateral
75.94,75.94,75.94,Equilateral
77.0,77.0,77.0,Equilateral
5.0,5.0,5.0,Equilateral
16.0,16.0,16.0,Equilateral
46.0,46.0,46.0,Equilateral
48.0,48.0,48.0,Equilateral
36.0,36.0,36.0,Equilateral
73.0,73.0,73.0,Equilateral
60.0,60.0,60.0,Equilateral
96.0,96.0,96.0,Equilateral
88.0,88.0,88.0,Equilateral
13.0,13.0,13.0,Equilateral
97.0,97.0,97.0,Equilateral
8.0,8.0,8.0,Equilateral
12.0,12.0,12.0,Equilateral
78.0,78.0,78.0,Equilateral
72.0,72.0,72.0,Equilateral
75.0,75.0,75.0,Equilateral
65.86,65.86,65.86,Equilateral
39.0,39.0,39.0,Equilateral
66.85,66.85,66.85,Equilateral
70.41,70.41,70.41,Equilateral
7.62,7.62,7.62,Equilateral
5.0,5.0,5.0,Equilateral
57.97,57.97,57.97,Equilateral
59.47,59.47,59.47,Equilateral
66.0,66.0,66.0,Equilateral
12.0,12.0,12.0,Equilateral
81.0,81.0,81.0,Equilateral
29.43,29.43,29.43,Equilateral
43.6,43.6,43.6,Equilateral
83.0,83.0,83.0,Equilateral
68.88,68.88,68.88,Equilateral
32.0,32.0,32.0,Equilateral
64.0,64.0,64.0,Equilateral
23.0,23.0,23.0,Equilateral
51.0,51.0,51.0,Equilateral
24.0,24.0,24.0,Equilateral
48.0,48.0,48.0,Equilateral
80.0,80.0,80.0,Equilateral
57.17,57.17,57.17,Equilateral
60.98,60.98,60.98,Equilateral
15.0,15.0,15.0,Equilateral
79.0,79.0,79.0,Equilateral
72.0,72.0,72.0,Equilateral
75.0,75.0,75.0,Equilateral
22.24,22.24,22.24,Equilateral
58.48,58.48,58.48,Equilateral
81.66,81.66,81.66,Equilateral
16.12,16.12,16.12,Equilateral
9.0,9.0,9.0,Equilateral
56.0,56.0,56.0,Equilateral
38.0,38.0,38.0,Equilateral
42.97,42.97,42.97,Equilateral
75.0,75.0,75.0,Equilateral
71.0,71.0,71.0,Equilateral
69.0,69.0,69.0,Equilateral
78.0,78.0,78.0,Equilateral
57.0,57.0,57.0,Equilateral
91.0,91.0,91.0,Equilateral
83.66,83.66,83.66,Equilateral
85.41,85.41,85.41,Equilateral
67.0,67.0,67.0,Equilateral
7.0,7.0,7.0,Equilateral
92.12,92.12,92.12,Equilateral
50.0,50.0,50.0,Equilateral
96.0,96.0,96.0,Equilateral
35.0,35.0,35.0,Equilateral
80.0,80.0,80.0,Equilateral
23.0,23.0,23.0,Equilateral
16.0,16.0,16.0,Equilateral
76.0,76.0,76.0,Equilateral
75.0,75.0,75.0,Equilateral
7.16,7.16,7.16,Equilateral
4.14,4.14,4.14,Equilateral
95.0,95.0,95.0,Equilateral
57.0,57.0,57.0,Equilateral
12.0,12.0,12.0,Equilateral
45.24,45.24,45.24,Equilateral
74.0,74.0,74.0,Equilateral
78.0,78.0,78.0,Equilateral
34.0,34.0,34.0,Equilateral
64.0,64.0,64.0,Equilateral
74.0,74.0,74.0,Equilateral
97.81,97.81,97.81,Equilateral
49.0,49.0,49.0,Equilateral
52.0,52.0,52.0,Equilateral
34.0,34.0,34.0,Equilateral
72.0,72.0,72.0,Equilateral
45.0,45.0,45.0,Equilateral
70.0,70.0,70.0,Equilateral
78.12,78.12,78.12,Equilateral
74.0,74.0,74.0,Equilateral
88.0,88.0,88.0,Equilateral
10.0,10.0,10.0,Equilateral
16.17,16.17,16.17,Equilateral
88.0,88.0,88.0,Equilateral
37.0,37.0,37.0,Equilateral
28.0,28.0,28.0,Equilateral
95.0,95.0,95.0,Equilateral
97.0,97.0,97.0,Equilateral
92.0,92.0,92.0,Equilateral
97.0,97.0,97.0,Equilateral
68.0,68.0,68.0,Equilateral
55.0,55.0,55.0,Equilateral
64.0,64.0,64.0,Equilateral
36.79,36.79,36.79,Equilateral
15.0,15.0,15.0,Equilateral
37.04,37.04,37.04,Equilateral
5.0,5.0,5.0,Equilateral
43.0,43.0,43.0,Equilateral
83.0,83.0,83.0,Equilateral
49.0,49.0,49.0,Equilateral
77.72,77.72,77.72,Equilateral
44.0,44.0,44.0,Equilateral
99.0,99.0,99.0,Equilateral
95.0,95.0,95.0,Equilateral
70.0,70.0,70.0,Equilateral
99.35,99.35,99.35,Equilateral
22.88,22.88,22.88,Equilateral
19.0,19.0,19.0,Equilateral
91.0,91.0,91.0,Equilateral
15.0,15.0,15.0,Equilateral
34.0,34.0,34.0,Equilateral
16.0,16.0,16.0,Equilateral
4.22,4.22,4.22,Equilateral
18.0,18.0,18.0,Equilateral
34.0,34.0,34.0,Equilateral
23.0,23.0,23.0,Equilateral
36.0,36.0,36.0,Equilateral
95.0,95.0,95.0,Equilateral
36.0,36.0,36.0,Equilateral
87.0,87.0,87.0,Equilateral
73.37,73.37,73.37,Equilateral
86.0,86.0,86.0,Equilateral
76.25,76.25,76.25,Equilateral
37.0,37.0,37.0,Equilateral
94.0,94.0,94.0,Equilateral
25.0,25.0,25.0,Equilateral
81.11,81.11,81.11,Equilateral
35.0,35.0,35.0,Equilateral
54.25,54.25,54.25,Equilateral
98.0,98.0,98.0,Equilateral
56.0,56.0,56.0,Equilateral
29.0,29.0,29.0,Equilateral
26.95,26.95,26.95,Equilateral
72.0,72.0,72.0,Equilateral
15.48,15.48,15.48,Equilateral
44.0,44.0,44.0,Equilateral
4.85,4.85,4.85,Equilateral
93.0,93.0,93.0,Equilateral
65.73,65.73,65.73,Equilateral
87.33,87.33,87.33,Equilateral
63.0,63.0,63.0,Equilateral
98.0,98.0,98.0,Equilateral
26.0,26.0,26.0,Equilateral
86.65,86.65,86.65,Equilateral
51.0,51.0,51.0,Equilateral
99.77,99.77,99.77,Equilateral
56.0,56.0,56.0,Equilateral
17.0,17.0,17.0,Equilateral
55.0,55.0,55.0,Equilateral
30.0,30.0,30.0,Equilateral
64.0,64.0,64.0,Equilateral
34.0,34.0,34.0,Equilateral
64.0,64.0,64.0,Equilateral
30.0,30.0,30.0,Equilateral
61.0,61.0,61.0,Equilateral
24.86,24.86,24.86,Equilateral
78.0,78.0,78.0,Equilateral
95.0,95.0,95.0,Equilateral
70.0,70.0,70.0,Equilateral
7.0,7.0,7.0,Equilateral
54.0,54.0,54.0,Equilateral
66.0,66.0,66.0,Equilateral
1.05,1.05,1.05,Equilateral
84.0,84.0,84.0,Equilateral
32.0,32.0,32.0,Equilateral
55.45,55.45,55.45,Equilateral
93.0,93.0,93.0,Equilateral
62.0,62.0,62.0,Equilateral
18.0,18.0,18.0,Equilateral
44.0,44.0,44.0,Equilateral
13.18,13.18,13.18,Equilateral
89.46,89.46,89.46,Equilateral
12.0,12.0,12.0,Equilateral
18.94,18.94,18.94,Equilateral
41.0,41.0,41.0,Equilateral
59.0,59.0,59.0,Equilateral
85.0,85.0,85.0,Equilateral
56.85,56.85,56.85,Equilateral
51.0,51.0,51.0,Equilateral
39.0,39.0,39.0,Equilateral
70.0,70.0,70.0,Equilateral
94.35,94.35,94.35,Equilateral
51.0,51.0,51.0,Equilateral
35.0,35.0,35.0,Equilateral
53.0,53.0,53.0,Equilateral
40.0,40.0,40.0,Equilateral
44.37,44.37,44.37,Equilateral
14.0,14.0,14.0,Equilateral
37.68,37.68,37.68,Equilateral
70.94,70.94,70.94,Equilateral
79.0,79.0,79.0,Equilateral
23.0,23.0,23.0,Equilateral
67.0,67.0,67.0,Equilateral
100.0,100.0,100.0,Equilateral
97.0,97.0,97.0,Equilateral
62.0,62.0,62.0,Equilateral
87.0,87.0,87.0,Equilateral
5.0,5.0,5.0,Equilateral
61.0,61.0,61.0,Equilateral
25.0,25.0,25.0,Equilateral
17.0,17.0,17.0,Equilateral
67.0,67.0,67.0,Equilateral
24.0,24.0,24.0,Equilateral
4.0,4.0,4.0,Equilateral
95.28,95.28,95.28,Equilateral
44.0,44.0,44.0,Equilateral
82.0,82.0,82.0,Equilateral
23.1,23.1,23.1,Equilateral
94.81,94.81,94.81,Equilateral
39.0,39.0,39.0,Equilateral
60.07,60.07,60.07,Equilateral
27.91,27.91,27.91,Equilateral
15.0,15.0,15.0,Equilateral
71.0,71.0,71.0,Equilateral
1.0,1.0,1.0,Equilateral
49.0,49.0,49.0,Equilateral
99.48,99.48,99.48,Equilateral
59.32,59.32,59.32,Equilateral
24.0,24.0,24.0,Equilateral
1.84,1.84,1.84,Equilateral
72.0,72.0,72.0,Equilateral
89.0,89.0,89.0,Equilateral
24.0,24.0,24.0,Equilateral
47.22,47.22,47.22,Equilateral
77.0,77.0,77.0,Equilateral
21.71,21.71,21.71,Equilateral
38.0,38.0,38.0,Equilateral
72.98,72.98,72.98,Equilateral
3.62,3.62,3.62,Equilateral
38.66,38.66,38.66,Equilateral
5.1,5.1,5.1,Equilateral
86.0,86.0,86.0,Equilateral
98.0,98.0,98.0,Equilateral
11.0,11.0,11.0,Equilateral
26.97,26.97,26.97,Equilateral
40.0,40.0,40.0,Equilateral
81.0,81.0,81.0,Equilateral
22.0,22.0,22.0,Equilateral
64.0,64.0,64.0,Equilateral
61.83,61.83,61.83,Equilateral
2.0,2.0,2.0,Equilateral
56.0,56.0,56.0,Equilateral
33.0,33.0,33.0,Equilateral
51.0,51.0,51.0,Equilateral
4.0,4.0,4.0,Equilateral
96.0,96.0,96.0,Equilateral
56.0,56.0,56.0,Equilateral
76.0,76.0,76.0,Equilateral
2.0,2.0,2.0,Equilateral
57.25,57.25,57.25,Equilateral
59.08,59.08,59.08,Equilateral
53.82,53.82,53.82,Equilateral
68.0,68.0,68.0,Equilateral
26.0,26.0,26.0,Equilateral
80.0,80.0,80.0,Equilateral
53.99,53.99,53.99,Equilateral
63.33,63.33,63.33,Equilateral
90.0,90.0,90.0,Equilateral
86.27,86.27,86.27,Equilateral
41.11,41.11,41.11,Equilateral
92.0,92.0,92.0,Equilateral
23.2,23.2,23.2,Equilateral
73.27,73.27,73.27,Equilateral
15.0,15.0,15.0,Equilateral
48.0,48.0,48.0,Equilateral
40.0,40.0,40.0,Equilateral
92.0,92.0,92.0,Equilateral
56.88,56.88,56.88,Equilateral
13.0,13.0,13.0,Equilateral
8.0,8.0,8.0,Equilateral
54.0,54.0,54.0,Equilateral
91.47,91.47,91.47,Equilateral
35.12,35.12,35.12,Equilateral
62.0,62.0,62.0,Equilateral
15.0,15.0,15.0,Equilateral
77.0,77.0,77.0,Equilateral
69.17,69.17,69.17,Equilateral
72.0,72.0,72.0,Equilateral
50.0,50.0,50.0,Equilateral
44.0,44.0,44.0,Equilateral
23.0,23.0,23.0,Equilateral
54.0,54.0,54.0,Equilateral
21.0,21.0,21.0,Equilateral
49.0,49.0,49.0,Equilateral
33.0,33.0,33.0,Equilateral
68.59,68.59,68.59,Equilateral
96.0,96.0,96.0,Equilateral
100.0,100.0,100.0,Equilateral
6.85,6.85,6.85,Equilateral
64.0,64.0,64.0,Equilateral
98.0,98.0,98.0,Equilateral
77.0,77.0,77.0,Equilateral
17.0,17.0,17.0,Equilateral
79.0,79.0,79.0,Equilateral
89.0,89.0,89.0,Equilateral
12.38,12.38,12.38,Equilateral
79.0,79.0,79.0,Equilateral
17.0,17.0,17.0,Equilateral
45.0,45.0,45.0,Equilateral
37.0,37.0,37.0,Equilateral
20.0,20.0,20.0,Equilateral
45.0,45.0,45.0,Equilateral
31.57,31.57,31.57,Equilateral
33.0,33.0,33.0,Equilateral
64.0,64.0,64.0,Equilateral
37.0,37.0,37.0,Equilateral
56.0,56.0,56.0,Equilateral
74.33,74.33,74.33,Equilateral
82.0,82.0,82.0,Equilateral
35.0,35.0,35.0,Equilateral
22.0,22.0,22.0,Equilateral
75.0,75.0,75.0,Equilateral
37.0,37.0,37.0,Equilateral
72.0,72.0,72.0,Equilateral
54.0,54.0,54.0,Equilateral
38.0,38.0,38.0,Equilateral
75.0,75.0,75.0,Equilateral
5.0,5.0,5.0,Equilateral
18.0,18.0,18.0,Equilateral
57.0,57.0,57.0,Equilateral
77.87,77.87,77.87,Equilateral
87.0,87.0,87.0,Equilateral
52.21,52.21,52.21,Equilateral
8.0,8.0,8.0,Equilateral
7.0,7.0,7.0,Equilateral
53.0,53.0,53.0,Equilateral
52.0,52.0,52.0,Equilateral
59.0,59.0,59.0,Equilateral
79.11,79.11,79.11,Equilateral
47.0,47.0,47.0,Equilateral
5.0,5.0,5.0,Equilateral
99.0,99.0,99.0,Equilateral
46.0,46.0,46.0,Equilateral
20.0,20.0,20.0,Equilateral
32.0,32.0,32.0,Equilateral
32.0,32.0,32.0,Equilateral
40.0,40.0,40.0,Equilateral
56.13,56.13,56.13,Equilateral
20.0,20.0,20.0,Equilateral
14.0,14.0,14.0,Equilateral
73.0,73.0,73.0,Equilateral
27.0,27.0,27.0,Equilateral
23.0,23.0,23.0,Equilateral
12.0,12.0,12.0,Equilateral
56.0,56.0,56.0,Equilateral
52.0,52.0,52.0,Equilateral
34.0,34.0,34.0,Equilateral
57.0,57.0,57.0,Equilateral
48.0,48.0,48.0,Equilateral
70.0,70.0,70.0,Equilateral
85.0,85.0,85.0,Equilateral
55.9,55.9,55.9,Equilateral
61.68,61.68,61.68,Equilateral
50.0,50.0,50.0,Equilateral
15.0,15.0,15.0,Equilateral
75.0,75.0,75.0,Equilateral
56.12,56.12,56.12,Equilateral
77.06,77.06,77.06,Equilateral
28.0,28.0,28.0,Equilateral
9.46,9.46,9.46,Equilateral
81.0,81.0,81.0,Equilateral
85.0,85.0,85.0,Equilateral
76.0,76.0,76.0,Equilateral
36.0,36.0,36.0,Equilateral
62.0,62.0,62.0,Equilateral
82.81,82.81,82.81,Equilateral
96.08,96.08,96.08,Equilateral
4.15,4.15,4.15,Equilateral
76.0,76.0,76.0,Equilateral
80.0,80.0,80.0,Equilateral
15.08,15.08,15.08,Equilateral
64.0,64.0,64.0,Equilateral
85.19,85.19,85.19,Equilateral
6.0,6.0,6.0,Equilateral
70.0,70.0,70.0,Equilateral
64.0,64.0,64.0,Equilateral
15.0,15.0,15.0,Equilateral
62.95,62.95,62.95,Equilateral
85.0,85.0,85.0,Equilateral
61.0,61.0,61.0,Equilateral
36.0,36.0,36.0,Equilateral
45.72,45.72,45.72,Equilateral
28.0,28.0,28.0,Equilateral
57.0,57.0,57.0,Equilateral
45.46,45.46,45.46,Equilateral
38.0,38.0,38.0,Equilateral
79.38,79.38,79.38,Equilateral
62.0,62.0,62.0,Equilateral
14.0,14.0,14.0,Equilateral
88.0,88.0,88.0,Equilateral
40.0,40.0,40.0,Equilateral
16.0,16.0,16.0,Equilateral
30.0,30.0,30.0,Equilateral
13.0,13.0,13.0,Equilateral
84.0,84.0,84.0,Equilateral
75.0,75.0,75.0,Equilateral
47.0,47.0,47.0,Equilateral
72.0,72.0,72.0,Equilateral
14.0,14.0,14.0,Equilateral
13.0,13.0,13.0,Equilateral
31.48,31.48,31.48,Equilateral
78.22,78.22,78.22,Equilateral
52.97,52.97,52.97,Equilateral
97.0,97.0,97.0,Equilateral
8.0,8.0,8.0,Equilateral
31.27,31.27,31.27,Equilateral
10.0,10.0,10.0,Equilateral
92.0,92.0,92.0,Equilateral
35.0,35.0,35.0,Equilateral
60.0,60.0,60.0,Equilateral
82.0,82.0,82.0,Equilateral
58.0,58.0,58.0,Equilateral
54.1,54.1,54.1,Equilateral
67.23,67.23,67.23,Equilateral
95.0,95.0,95.0,Equilateral
78.06,78.06,78.06,Equilateral
21.0,21.0,21.0,Equilateral
75.17,75.17,75.17,Equilateral
22.0,22.0,22.0,Equilateral
89.0,89.0,89.0,Equilateral
60.0,60.0,60.0,Equilateral
54.0,54.0,54.0,Equilateral
17.14,17.14,17.14,Equilateral
24.0,24.0,24.0,Equilateral
61.0,61.0,61.0,Equilateral
62.0,62.0,62.0,Equilateral
76.0,76.0,76.0,Equilateral
67.0,67.0,67.0,Equilateral
56.0,56.0,56.0,Equilateral
69.0,69.0,69.0,Equilateral
11.0,11.0,11.0,Equilateral
60.0,60.0,60.0,Equilateral
8.0,8.0,8.0,Equilateral
93.0,93.0,93.0,Equilateral
42.0,42.0,42.0,Equilateral
73.53,73.53,73.53,Equilateral
92.0,92.0,92.0,Equilateral
60.72,60.72,60.72,Equilateral
26.0,26.0,26.0,Equilateral
46.0,46.0,46.0,Equilateral
65.0,65.0,65.0,Equilateral
34.59,34.59,34.59,Equilateral
51.0,51.0,51.0,Equilateral
81.84,81.84,81.84,Equilateral
66.0,66.0,66.0,Equilateral
3.0,3.0,3.0,Equilateral
26.94,26.94,26.94,Equilateral
22.0,22.0,22.0,Equilateral
57.0,57.0,57.0,Equilateral
2.0,2.0,2.0,Equilateral
1.0,1.0,1.0,Equilateral
42.41,42.41,42.41,Equilateral
31.0,31.0,31.0,Equilateral
61.35,61.35,61.35,Equilateral
75.0,75.0,75.0,Equilateral
54.0,54.0,54.0,Equilateral
61.19,61.19,61.19,Equilateral
99.0,99.0,99.0,Equilateral
29.0,29.0,29.0,Equilateral
76.25,76.25,76.25,Equilateral
37.0,37.0,37.0,Equilateral
80.0,80.0,80.0,Equilateral
36.07,36.07,36.07,Equilateral
83.0,83.0,83.0,Equilateral
2.0,2.0,2.0,Equilateral
96.0,96.0,96.0,Equilateral
4.25,4.25,4.25,Equilateral
14.0,14.0,14.0,Equilateral
100.0,100.0,100.0,Equilateral
56.38,56.38,56.38,Equilateral
53.68,53.68,53.68,Equilateral
83.0,83.0,83.0,Equilateral
85.0,85.0,85.0,Equilateral
67.0,67.0,67.0,Equilateral
72.0,72.0,72.0,Equilateral
79.0,79.0,79.0,Equilateral
13.16,13.16,13.16,Equilateral
26.91,26.91,26.91,Equilateral
14.48,14.48,14.48,Equilateral
29.0,29.0,29.0,Equilateral
59.0,59.0,59.0,Equilateral
26.92,26.92,26.92,Equilateral
42.0,42.0,42.0,Equilateral
30.0,30.0,30.0,Equilateral
76.86,76.86,76.86,Equilateral
4.0,4.0,4.0,Equilateral
22.0,22.0,22.0,Equilateral
63.0,63.0,63.0,Equilateral
43.02,43.02,43.02,Equilateral
21.0,21.0,21.0,Equilateral
11.0,11.0,11.0,Equilateral
14.0,14.0,14.0,Equilateral
26.0,26.0,26.0,Equilateral
38.36,38.36,38.36,Equilateral
33.0,33.0,33.0,Equilateral
12.0,12.0,12.0,Equilateral
91.0,91.0,91.0,Equilateral
42.0,42.0,42.0,Equilateral
95.0,95.0,95.0,Equilateral
46.0,46.0,46.0,Equilateral
30.0,30.0,30.0,Equilateral
66.5,66.5,66.5,Equilateral
2.0,2.0,2.0,Equilateral
36.0,36.0,36.0,Equilateral
71.0,71.0,71.0,Equilateral
84.0,84.0,84.0,Equilateral
5.07,5.07,5.07,Equilateral
34.06,34.06,34.06,Equilateral
51.0,51.0,51.0,Equilateral
95.0,95.0,95.0,Equilateral
24.0,24.0,24.0,Equilateral
56.0,56.0,56.0,Equilateral
58.0,58.0,58.0,Equilateral
35.0,35.0,35.0,Equilateral
4.0,4.0,4.0,Equilateral
37.0,37.0,37.0,Equilateral
3.0,3.0,3.0,Equilateral
31.75,31.75,31.75,Equilateral
26.0,26.0,26.0,Equilateral
16.0,16.0,16.0,Equilateral
32.0,32.0,32.0,Equilateral
14.0,14.0,14.0,Equilateral
34.0,34.0,34.0,Equilateral
31.0,31.0,31.0,Equilateral
19.0,19.0,19.0,Equilateral
67.0,67.0,67.0,Equilateral
87.0,87.0,87.0,Equilateral
31.94,31.94,31.94,Equilateral
24.0,24.0,24.0,Equilateral
9.0,9.0,9.0,Equilateral
65.2,65.2,65.2,Equilateral
92.0,92.0,92.0,Equilateral
3.75,3.75,3.75,Equilateral
78.0,78.0,78.0,Equilateral
84.0,84.0,84.0,Equilateral
21.0,21.0,21.0,Equilateral
71.88,71.88,71.88,Equilateral
53.0,53.0,53.0,Equilateral
43.0,43.0,43.0,Equilateral
70.0,70.0,70.0,Equilateral
49.18,49.18,49.18,Equilateral
48.0,48.0,48.0,Equilateral
89.0,89.0,89.0,Equilateral
68.0,68.0,68.0,Equilateral
71.0,71.0,71.0,Equilateral
53.0,53.0,53.0,Equilateral
16.0,16.0,16.0,Equilateral
27.0,27.0,27.0,Equilateral
70.9,70.9,70.9,Equilateral
61.0,61.0,61.0,Equilateral
8.18,8.18,8.18,Equilateral
35.0,35.0,35.0,Equilateral
25.0,25.0,25.0,Equilateral
67.0,67.0,67.0,Equilateral
11.0,11.0,11.0,Equilateral
28.0,28.0,28.0,Equilateral
67.64,67.64,67.64,Equilateral
40.0,40.0,40.0,Equilateral
42.0,42.0,42.0,Equilateral
18.0,18.0,18.0,Equilateral
94.0,94.0,94.0,Equilateral
49.0,49.0,49.0,Equilateral
96.22,96.22,96.22,Equilateral
25.96,25.96,25.96,Equilateral
25.0,25.0,25.0,Equilateral
30.29,30.29,30.29,Equilateral
76.64,76.64,76.64,Equilateral
93.0,93.0,93.0,Equilateral
19.38,19.38,19.38,Equilateral
61.0,61.0,61.0,Equilateral
17.94,17.94,17.94,Equilateral
82.94,82.94,82.94,Equilateral
27.0,27.0,27.0,Equilateral
31.0,31.0,31.0,Equilateral
54.73,54.73,54.73,Equilateral
23.0,23.0,23.0,Equilateral
65.0,65.0,65.0,Equilateral
36.0,36.0,36.0,Equilateral
95.0,95.0,95.0,Equilateral
49.0,49.0,49.0,Equilateral
4.0,4.0,4.0,Equilateral
20.0,20.0,20.0,Equilateral
38.0,38.0,38.0,Equilateral
71.0,71.0,71.0,Equilateral
2.85,2.85,2.85,Equilateral
57.23,57.23,57.23,Equilateral
5.44,5.44,5.44,Equilateral
13.0,13.0,13.0,Equilateral
6.0,6.0,6.0,Equilateral
65.0,65.0,65.0,Equilateral
66.0,66.0,66.0,Equilateral
12.82,12.82,12.82,Equilateral
48.0,48.0,48.0,Equilateral
98.0,98.0,98.0,Equilateral
65.38,65.38,65.38,Equilateral
17.0,17.0,17.0,Equilateral
22.0,22.0,22.0,Equilateral
52.98,52.98,52.98,Equilateral
83.0,83.0,83.0,Equilateral
94.0,94.0,94.0,Equilateral
33.0,33.0,33.0,Equilateral
75.52,75.52,75.52,Equilateral
41.04,41.04,41.04,Equilateral
38.0,38.0,38.0,Equilateral
64.0,64.0,64.0,Equilateral
80.46,80.46,80.46,Equilateral
56.0,56.0,56.0,Equilateral
27.71,27.71,27.71,Equilateral
37.0,37.0,37.0,Equilateral
61.0,61.0,61.0,Equilateral
80.0,80.0,80.0,Equilateral
22.0,22.0,22.0,Equilateral
48.0,48.0,48.0,Equilateral
72.0,72.0,72.0,Equilateral
